product_name,current_stock,reorder_level,last_sold_date
Cotton Saree,45,50,2026-05-01
Silk Dupatta,12,30,2026-04-15
Wool Shawl,8,20,2026-04-15
Linen Kurta,60,40,2026-03-05
Marble Tiles 2x2,5,15,2026-03-20
Cotton Saree,45,50,2026-05-01
Silk Dupatta,12,30,2026-04-15
Wool Shawl,8,20,2026-04-15
Linen Kurta,60,40,2026-03-05
Marble Tiles 2x2,5,15,2026-03-20
Cotton Saree,45,50,2026-05-01
Silk Dupatta,12,30,2026-04-15
Wool Shawl,8,20,2026-04-15
Linen Kurta,60,40,2026-03-05
Marble Tiles 2x2,5,15,2026-03-20
